ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
5403,HIV/AIDS (supportive),papules and pustules; oily skin; scarring; burning sensation,"Aloe vera gel applied to affected area 1–2 times daily.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Kutki,"Áyurveda Encyclopedia - Ch.15, p.511",Kapha,Skin,Acute,Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.94,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
5404,Fibromyalgia-like pain,ear pain; decreased hearing; discharge from ear; tinnitus,Steam with a few drops of eucalyptus oil; rest and avoid cold exposure.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Sandalwood, Cardamom","Áyurveda Encyclopedia - Ch.24, p.473",Kapha,ENT,Acute,Aromatherapy,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5405,Obesity (Sthaulya),nausea; vomiting; sour belching; heartburn; acidity,Fresh ginger and lemon water before meals; avoid cold/raw foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Haritaki, Khadira","Áyurveda Encyclopedia - Ch.20, p.384",Kapha,Digestive,Acute,Aromatherapy; Meditation,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.7,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
5406,Anemia - variant 17,cold extremities; poor circulation; varicose veins,Light walking and gentle leg exercises; keep legs elevated to reduce swelling.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Turmeric, Shatavari","Áyurveda Encyclopedia - Ch.15, p.477",Pitta-Kapha,Circulatory,Chronic,Aromatherapy,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),Adults,0.79,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.86
5407,Ulcers - variant 5,constipation; hard stools; abdominal distension; low appetite,"Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Bhringraj, Brahmi, Shatavari","Áyurveda Encyclopedia - Ch.15, p.417",Vata-Kapha,Digestive,Chronic,Pranayama; Topical,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.83,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
5408,Hemorrhoids (Arshas),white depigmented patches; gradual spread; occasional itching,Sandalwood paste with rose water for soothing inflamed skin.,"Turmeric, Coriander","Áyurveda Encyclopedia - Ch.16, p.514",Vata-Pitta,Skin,Chronic,Lifestyle,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.75,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.93
5409,Memory loss (Alzheimer-like) - variant 7,anxiety; insomnia; excessive worrying; dizziness,"Ashwagandha milk (if appropriate) as a tonic for chronic fatigue (use under guidance).; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Guduchi,"Áyurveda Encyclopedia - Ch.22, p.506",Vata-Pitta,Nervous,Chronic,Panchakarma; Yoga,No oil massage during acute fever,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
5410,Cold (Shitaka),runny nose; sneezing; sinus pressure; post-nasal drip,Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.,"Guduchi, Ginger","Áyurveda Encyclopedia - Ch.16, p.513",Vata-Pitta,Respiratory,Acute,Lifestyle,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.78,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
5411,Prostate Problems,increased thirst; excessive urination; sugar in urine,Drink jeera (cumin) water and maintain hydration; avoid excessive spice/alcohol.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,Guduchi,"Áyurveda Encyclopedia - Ch.22, p.415",Vata-Kapha,Urinary,Acute,Aromatherapy,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.84,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
5412,Abscess,thirst; increased appetite; polyuria,"Cinnamon and fenugreek in diet to help blood sugar management (use along with medical advice).; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Manjistha, Brahmi, Neem","Áyurveda Encyclopedia - Ch.20, p.497",Vata-Pitta,Metabolic,Chronic,Aromatherapy; Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.74,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5413,Cough (Kasa),dry cough; hoarseness; chest pain on coughing; fever,Steam inhalation with eucalyptus/tulsi/ginger; take slow deep breaths.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Cardamom, Amalaki (Amla), Guduchi","Áyurveda Encyclopedia - Ch.21, p.458",Vata,Respiratory,Chronic,Topical,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.88,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.86
5414,Constipation (Vibandha),loss of appetite; bloating; belching; abdominal pain; altered bowel habits,"Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.","Haritaki, Clove, Pippali","Áyurveda Encyclopedia - Ch.21, p.355",Kapha,Digestive,Acute,Panchakarma,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
5415,Constipation (Vibandha),constipation; hard stools; abdominal distension; low appetite,"A pinch of hing (asafoetida) in warm water for gas and colic.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Khadira, Mustā, Brahmi","Áyurveda Encyclopedia - Ch.15, p.466",Pitta,Digestive,Chronic,Meditation; Panchakarma,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.83,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
5416,Hyperthyroidism-like,irregular periods; pelvic pain; infertility; discharge,"Warm sitz baths with a little rock salt for postpartum care and mild infections.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.",Neem,"Áyurveda Encyclopedia - Ch.23, p.450",Vata-Pitta,Reproductive,Chronic,Diet,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
5417,High Blood Pressure - variant 1,palpitations; chest pain; breathlessness on exertion; swelling in legs,"Massage legs with warm sesame oil to improve circulation.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.",Cinnamon,"Áyurveda Encyclopedia - Ch.23, p.353",Pitta,Circulatory,Acute,Diet; Lifestyle,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.79,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
5418,Heart Disease,cold extremities; poor circulation; varicose veins,"Include garlic, ginger, and turmeric in diet moderately; drink warm water with lemon.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.",Coriander,"Áyurveda Encyclopedia - Ch.16, p.414",Kapha,Circulatory,Chronic,Diet; Topical,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.79,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
5419,Female Reproductive Disorders,erectile dysfunction; premature ejaculation; pelvic pain,"Warm sitz baths with a little rock salt for postpartum care and mild infections.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Sandalwood, Cinnamon","Áyurveda Encyclopedia - Ch.15, p.375",Kapha,Reproductive,Chronic,Diet; Topical,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Male-specific,0.74,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
5420,Bronchitis,runny nose; sneezing; sinus pressure; post-nasal drip,Warm ginger-tulsi-honey decoction thrice daily for cough.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Guduchi, Aloe vera, Haritaki","Áyurveda Encyclopedia - Ch.16, p.467",Vata,Respiratory,Chronic,Meditation,No oil massage during acute fever,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5421,Nose Disorders,palpitations; chest pain; breathlessness on exertion; swelling in legs,"Include garlic, ginger, and turmeric in diet moderately; drink warm water with lemon.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Gokshura, Haridra, Arjuna","Áyurveda Encyclopedia - Ch.26, p.411",Kapha,Circulatory,Chronic,Panchakarma; Pranayama,Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.85,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
5422,Elephantiasis,chronic low energy; poor digestion; sleep disturbances,"Warm sesame oil massage (Abhyanga) for 10–15 minutes, followed by warm bath.; Use aloe vera in home preparations (e.g., aloe vera tea or paste) as supportive remedy.",Mustā,"Áyurveda Encyclopedia - Ch.17, p.435",Tridoshic,General/Constitutional,Acute,Herb,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.77,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
5423,Allergic Dermatitis,papules and pustules; oily skin; scarring; burning sensation,"Neem leaf paste or neem oil applied topically for rashes (test patch first).; Use ginger in home preparations (e.g., ginger tea or paste) as supportive remedy.","Cardamom, Cinnamon, Coriander","Áyurveda Encyclopedia - Ch.26, p.390",Kapha,Skin,Chronic,Herb,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.72,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5424,Anorexia (Arochaka),loss of appetite; bloating; belching; abdominal pain; altered bowel habits,"A pinch of hing (asafoetida) in warm water for gas and colic.; Use neem in home preparations (e.g., neem tea or paste) as supportive remedy.","Cardamom, Brahmi, Cinnamon","Áyurveda Encyclopedia - Ch.24, p.501",Kapha,Digestive,Acute,Herb; Surgery (rare),Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.65,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
5425,Gout (Vatarakta),fever; fatigue; malaise; body aches,"Keep joint moving gently; avoid heavy lifting during acute pain.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Ashwagandha, Guduchi, Guduchi","Áyurveda Encyclopedia - Ch.15, p.515",Vata-Kapha,Musculoskeletal,Acute,Pranayama,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.8
5426,Gallstones,chronic low energy; poor digestion; sleep disturbances,"Keep joint moving gently; avoid heavy lifting during acute pain.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Mustā, Kutki, Bakuchi","Áyurveda Encyclopedia - Ch.26, p.483",Pitta,Musculoskeletal,Chronic,Meditation; Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.85,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
5427,Ulcers,loss of appetite; bloating; belching; abdominal pain; altered bowel habits,Fresh ginger and lemon water before meals; avoid cold/raw foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,Mustā,"Áyurveda Encyclopedia - Ch.19, p.356",Vata-Kapha,Digestive,Acute,Surgery (rare); Topical,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.69,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.82
5428,Multiple Sclerosis-like,thirst; increased appetite; polyuria,Cinnamon and fenugreek in diet to help blood sugar management (use along with medical advice).; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Aloe vera, Turmeric","Áyurveda Encyclopedia - Ch.20, p.402",Vata,Metabolic,Acute,Aromatherapy,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
